Month,Month_Num,Country,Articles,Year,Date
May,5,England,1,1981,1981-05-01
June,6,England,1,1984,1984-06-01
January,1,England,1,1985,1985-01-01
November,11,England,1,1985,1985-11-01
February,2,England,1,1986,1986-02-01
November,11,England,2,1986,1986-11-01
May,5,England,1,1987,1987-05-01
August,8,England,1,1988,1988-08-01
December,12,England,1,1988,1988-12-01
February,2,England,1,1988,1988-02-01
January,1,England,1,1988,1988-01-01
June,6,England,1,1988,1988-06-01
August,8,England,2,1989,1989-08-01
February,2,England,3,1989,1989-02-01
March,3,England,1,1989,1989-03-01
September,9,England,1,1989,1989-09-01
June,6,England,1,1990,1990-06-01
January,1,England,2,1991,1991-01-01
July,7,England,1,1991,1991-07-01
May,5,England,1,1991,1991-05-01
September,9,England,1,1991,1991-09-01
April,4,England,1,1992,1992-04-01
June,6,England,1,1992,1992-06-01
September,9,England,1,1992,1992-09-01
February,2,England,1,1993,1993-02-01
January,1,Scotland,1,1993,1993-01-01
June,6,Scotland,1,1993,1993-06-01
March,3,England,1,1993,1993-03-01
August,8,Scotland,2,1994,1994-08-01
February,2,England,1,1994,1994-02-01
January,1,Scotland,2,1994,1994-01-01
July,7,Scotland,2,1994,1994-07-01
March,3,Scotland,1,1994,1994-03-01
May,5,Scotland,1,1994,1994-05-01
November,11,England,1,1994,1994-11-01
September,9,Scotland,1,1994,1994-09-01
April,4,England,3,1995,1995-04-01
August,8,England,1,1995,1995-08-01
August,8,Scotland,1,1995,1995-08-01
July,7,England,3,1995,1995-07-01
July,7,Scotland,1,1995,1995-07-01
June,6,England,1,1995,1995-06-01
March,3,England,1,1995,1995-03-01
October,10,England,1,1995,1995-10-01
October,10,Scotland,1,1995,1995-10-01
September,9,Scotland,1,1995,1995-09-01
April,4,England,1,1996,1996-04-01
January,1,Scotland,2,1996,1996-01-01
June,6,England,1,1996,1996-06-01
June,6,Scotland,1,1996,1996-06-01
May,5,England,1,1996,1996-05-01
May,5,Scotland,1,1996,1996-05-01
November,11,Scotland,2,1996,1996-11-01
October,10,England,1,1996,1996-10-01
October,10,Scotland,1,1996,1996-10-01
September,9,England,3,1996,1996-09-01
April,4,England,1,1997,1997-04-01
April,4,Scotland,1,1997,1997-04-01
August,8,Northern_Ireland,1,1997,1997-08-01
August,8,Scotland,1,1997,1997-08-01
February,2,England,2,1997,1997-02-01
January,1,England,1,1997,1997-01-01
July,7,Scotland,2,1997,1997-07-01
June,6,England,1,1997,1997-06-01
March,3,England,2,1997,1997-03-01
March,3,Scotland,1,1997,1997-03-01
May,5,Northern_Ireland,1,1997,1997-05-01
November,11,Scotland,1,1997,1997-11-01
October,10,England,2,1997,1997-10-01
October,10,Scotland,1,1997,1997-10-01
September,9,England,3,1997,1997-09-01
September,9,Northern_Ireland,1,1997,1997-09-01
September,9,Scotland,1,1997,1997-09-01
April,4,Scotland,1,1998,1998-04-01
August,8,England,16,1998,1998-08-01
August,8,Scotland,4,1998,1998-08-01
December,12,England,3,1998,1998-12-01
December,12,Scotland,3,1998,1998-12-01
February,2,England,3,1998,1998-02-01
February,2,Scotland,2,1998,1998-02-01
January,1,England,1,1998,1998-01-01
January,1,Scotland,5,1998,1998-01-01
July,7,England,16,1998,1998-07-01
July,7,Scotland,4,1998,1998-07-01
June,6,England,14,1998,1998-06-01
June,6,Scotland,4,1998,1998-06-01
March,3,England,2,1998,1998-03-01
March,3,Scotland,1,1998,1998-03-01
May,5,England,9,1998,1998-05-01
May,5,Scotland,1,1998,1998-05-01
November,11,England,2,1998,1998-11-01
November,11,Scotland,1,1998,1998-11-01
October,10,England,9,1998,1998-10-01
October,10,Scotland,3,1998,1998-10-01
October,10,Wales,1,1998,1998-10-01
September,9,England,5,1998,1998-09-01
September,9,Wales,1,1998,1998-09-01
April,4,England,7,1999,1999-04-01
April,4,Scotland,1,1999,1999-04-01
August,8,England,12,1999,1999-08-01
August,8,Scotland,4,1999,1999-08-01
December,12,England,1,1999,1999-12-01
February,2,England,3,1999,1999-02-01
February,2,Scotland,7,1999,1999-02-01
January,1,England,3,1999,1999-01-01
January,1,Scotland,5,1999,1999-01-01
July,7,England,11,1999,1999-07-01
July,7,Scotland,3,1999,1999-07-01
June,6,England,10,1999,1999-06-01
June,6,Scotland,5,1999,1999-06-01
March,3,England,4,1999,1999-03-01
March,3,Scotland,3,1999,1999-03-01
May,5,Scotland,1,1999,1999-05-01
November,11,England,5,1999,1999-11-01
November,11,Scotland,2,1999,1999-11-01
October,10,England,6,1999,1999-10-01
October,10,Scotland,1,1999,1999-10-01
September,9,England,7,1999,1999-09-01
September,9,Scotland,1,1999,1999-09-01
April,4,Scotland,1,2000,2000-04-01
August,8,England,27,2000,2000-08-01
August,8,Scotland,5,2000,2000-08-01
August,8,Wales,1,2000,2000-08-01
December,12,England,4,2000,2000-12-01
December,12,Scotland,1,2000,2000-12-01
February,2,England,5,2000,2000-02-01
January,1,England,1,2000,2000-01-01
January,1,Scotland,2,2000,2000-01-01
July,7,England,15,2000,2000-07-01
July,7,Scotland,2,2000,2000-07-01
June,6,England,6,2000,2000-06-01
June,6,Scotland,1,2000,2000-06-01
March,3,England,2,2000,2000-03-01
May,5,England,5,2000,2000-05-01
May,5,Scotland,2,2000,2000-05-01
May,5,Wales,1,2000,2000-05-01
November,11,England,7,2000,2000-11-01
November,11,Scotland,1,2000,2000-11-01
October,10,England,2,2000,2000-10-01
October,10,Scotland,4,2000,2000-10-01
September,9,England,7,2000,2000-09-01
September,9,Scotland,5,2000,2000-09-01
April,4,England,8,2001,2001-04-01
April,4,Scotland,2,2001,2001-04-01
August,8,England,37,2001,2001-08-01
August,8,Scotland,3,2001,2001-08-01
August,8,Wales,1,2001,2001-08-01
December,12,England,7,2001,2001-12-01
December,12,Scotland,1,2001,2001-12-01
February,2,England,8,2001,2001-02-01
February,2,Wales,1,2001,2001-02-01
January,1,England,7,2001,2001-01-01
January,1,Scotland,2,2001,2001-01-01
July,7,England,73,2001,2001-07-01
July,7,Ireland,1,2001,2001-07-01
July,7,Scotland,7,2001,2001-07-01
